source,target,weight,type
Lil Yachty,A$AP Mob,1,undirected
Quez,B-Real,1,undirected
Noodles,Lookas,1,undirected
B.o.B,T.I.,2,undirected
Boosie Badazz,Slim Thug,2,undirected
S Dot Braddy,Germ,1,undirected
Tech N9ne Collabos,Big Scoob,2,undirected
Donald Glover,Jhene Aiko,1,undirected
Blacastan,Apathy,1,undirected
M.I.A.,A$AP Rocky,1,undirected
Trey Songz,DJ Drama,1,undirected
Katz,Twiztid,1,undirected
Wankaego,Webbie,2,undirected
Travis Scott,Drake,1,undirected
DJ Luian,Zion & Lennox,1,undirected
Dave East,Fabolous,1,undirected
DJ Khaled,Jeezy,1,undirected
Chad Cain,Mista Cain,1,undirected
DJ Quick,Micah,1,undirected
Berner,B-Real,15,undirected
Ty Dolla $ign,Kendrick Lamar,1,undirected
Twista,Apathy,1,undirected
Future,A$AP Rocky,1,undirected
Leslie Odom Jr.,Christopher Jackson,5,undirected
J. Doe,G-Eazy,1,undirected
Little Dragon,Mac Miller,1,undirected
Okieriete Onaodowan,Daveed Diggs,12,undirected
Tech N9ne,B.o.B,1,undirected
Smoke Dza,Royce Da 5'9",1,undirected
Arcangel,Mozart La Para,1,undirected
T Bone,Fred B,1,undirected
Mistah F.A.B.,B.o.B,1,undirected
Bumps Inf,Sevin,2,undirected
Michael Bolton,Mr. Fish,1,undirected
K'NAAN,Riz MC,1,undirected
KB,Lecrae,1,undirected
Noni Blanco,Sleepy D,1,undirected
Marvalyss,Blacastan,1,undirected
Renee Elise Goldsberry,Phillipa Soo,4,undirected
Skeme,AD,1,undirected
JT,Jon Conner,2,undirected
Dillon Francis,DJ Snake,1,undirected
Jim Jones,Philthy Rich,1,undirected
Yung Gleesh,"Tyler, The Creator",1,undirected
Jadakiss,Pete Rock,1,undirected
Moonshine Bandits,Lenny Cooper,1,undirected
ScHoolboy Q,A$AP Rocky,1,undirected
Joell Ortiz,Joe Budden,1,undirected
Chief Keef,Mac Miller,1,undirected
Blacastan,CZARFACE,1,undirected
Young Dolph,Peewee Longway,1,undirected
Lil Wayne,The Game,2,undirected
The Jacka,Tone ..C,1,undirected
G Mo Skee,Mouton,1,undirected
Apollo Brown,Conway,1,undirected
June,Lil Goofy,1,undirected
K-Ci & JoJo,Detail,1,undirected
Nicki Minaj,Meek Mill,3,undirected
Talley Of 300,No Fatigue,2,undirected
Anthony Ramos,Sasha Hutchings,1,undirected
Problem,Riff Raff,1,undirected
De La Soul,Estelle,1,undirected
Vinnie Paz,Eamon,2,undirected
Diddy,Pusha T,2,undirected
Eshon Burgundy,Jeremiah Bligen,2,undirected
Jarren Benton,Bernz,1,undirected
HG Free,Jay Warren,1,undirected
Nas,Juicy J,1,undirected
Too $hort,Bobby V.,1,undirected
Jonathan Thulin,NF,1,undirected
Jay 305,AD,2,undirected
Ruslan,Sarah Juers,1,undirected
Montana of 300,Kevin Gates,1,undirected
Skepta,Wiley,1,undirected
Tiara,Mr. Porter,1,undirected
Vince Staples,Kilo Kish,1,undirected
Tech N9ne Collabos,Godemis,1,undirected
Kappa Gamma,Oh No,1,undirected
Jay 305,RJ,2,undirected
PJ,Skizzy Mars,1,undirected
E-40,Kamaiyah,1,undirected
Jonathan Groff,Original Broadway Cast of Hamilton,1,undirected
Starrah,Kid Ink,1,undirected
Dora,Young Thug,1,undirected
Trouble,Lil Durk,1,undirected
Madeintyo,A$AP Rocky,1,undirected
Anthony Ramos,Ephraim Sykes,1,undirected
Rick Ross,Wiz Khalifa,1,undirected
MO3,No Shame,2,undirected
Jadakiss,Mistah F.A.B.,1,undirected
Bizzle,Sevin,5,undirected
Skrillex,A$AP Ferg,1,undirected
Clif Soulo,White Dave,1,undirected
Trae Tha Truth,Yo Gotti,1,undirected
Boosie Badazz,Z-Ro,1,undirected
Rich Homie Quan,DJ Drama,2,undirected
E-40,Husalah,1,undirected
Fashawn,Lupe Fiasco,1,undirected
Demun Jones,Danny Boone,1,undirected
Darrein Safron,Stevie Stone,1,undirected
Istevie,E-40,1,undirected
Drake,YG,1,undirected
The Game,Kendrick Lamar,2,undirected
Domo Genesis,Wiz Khalifa,1,undirected
YFN Lucci,Marissa,1,undirected
Moonshine Bandits,J Rosevelt,1,undirected
Blaze Ya Dead Homie,Twiztid,2,undirected
Ezale,Philthy Rich,1,undirected
Ben Folds,Regina Spektor,1,undirected
Savage,J-Real,2,undirected
Wale,Young Dolph,1,undirected
Estelle,Pete Rock,1,undirected
Keyshia Cole,Silke,1,undirected
Lin-Manuel Miranda,Aloe Blacc,1,undirected
Talley Of 300,J-Real,2,undirected
Madeintyo,2 Chainz,1,undirected
London Jae,T.I.,3,undirected
Rittz,Tech N9ne Collabos,3,undirected
Alexio,DJ Luian,2,undirected
Future,Drake,11,undirected
Shy Carter,DJ Quik,1,undirected
The Game,Nas,2,undirected
Mark Ronson,A$AP Rocky,1,undirected
Young Gunner,Sarah Ross,1,undirected
Lil Keke,Adoni,1,undirected
Rich Homie Quan,Young Thug,1,undirected
Offset,Quavo,1,undirected
Blaze Ya Dead Homie,Kung Fu Vampire,1,undirected
E-40,Young Chu,1,undirected
Diddy,Big Sean,1,undirected
Camille Faulkner,Derek Minor,1,undirected
De La Soul,Pete Rock,1,undirected
Selah the Corner,Datin,2,undirected
KXNG Crooked,Kobe Honeycutt,1,undirected
Selah the Corner,Beleaf,1,undirected
2Meka,Yella,1,undirected
Solo Lucci,Offset,1,undirected
Gracy,John Givez,1,undirected
Original Broadway Cast of Hamilton,Thayne Jasperson,1,undirected
E-40,Turf Talk,1,undirected
Apollo Brown,Westside Gunn,1,undirected
G Mo Skee,Hopsin,1,undirected
Mistah F.A.B.,Kendrick Lamar,1,undirected
C-Murder,Cuttyboy G Dinero,1,undirected
Buddy,A$AP Rocky,1,undirected
Tyler Lyon,Prozak,1,undirected
Zoey Dollaz,Philthy Rich,1,undirected
Adam Vida,Grieves,1,undirected
Iamnobodi,G-Eazy,1,undirected
Kendrick Lamar,Anna Wise,2,undirected
Deion,The Game,2,undirected
Ty Dolla $ign,Babyface,1,undirected
Rittz,Wrekonize,1,undirected
The Lonely Island,Akon,1,undirected
Mitch E-Slick,Joe Moses,2,undirected
Darrein Safron,Tech N9ne,1,undirected
Jeremih,Chris Brown,1,undirected
Yo Gotti,Future,2,undirected
Big K.R.I.T.,T.I.,1,undirected
Demun Jones,Redneck Souljers,1,undirected
C-Murder,VS,2,undirected
Jeezy,Jessica Care Moore,1,undirected
Watsky,Grieves,1,undirected
Alexio,Pusho,1,undirected
Rite Hook,Skam2?,1,undirected
Tatiana Paulino,A$AP Ferg,1,undirected
Demoz,Vinnie Paz,2,undirected
Nef The Pharaoh,Philthy Rich,1,undirected
D Double E,ASAP Nast,1,undirected
Mick Jenkins,BadBadNotGood,1,undirected
Hannibal Buress,Lil Dicky,1,undirected
Marley Blu,YG,1,undirected
STATIK KXNG,Termanology,1,undirected
Berner,Cozmo,1,undirected
Junior Maile,Jamesthemormon,2,undirected
Madeintyo,Lil Yachty,1,undirected
Eazy-E,Dr. Dre,1,undirected
Adoni,Pimp C,1,undirected
Pharrell Williams,Diddy,1,undirected
Lin-Manuel Miranda,Ephraim Sykes,1,undirected
Tyler Lyon,Tech N9ne Collabos,2,undirected
Thundercat,Kendrick Lamar,2,undirected
